City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hilo,90,US,1551924749,68,19.71,-155.08,71.6,6.93
Kahului,75,US,1551924377,69,20.89,-156.47,75,13.87
Tuktoyaktuk,90,CA,1551920400,77,69.44,-133.03,5,4.7
Cabedelo,20,BR,1551920400,88,-6.97,-34.84,78.8,2.24
Airai,80,TL,1551924775,69,-8.93,125.41,80.68,2.84
Rikitea,76,PF,1551924775,100,-23.12,-134.97,79.69,18.05
Cape Town,20,ZA,1551924769,82,-33.93,18.42,68,4.7
Kampot,0,KH,1551922200,69,10.62,104.18,82.4,4.7
Albany,1,US,1551924649,66,42.65,-73.75,17.01,8.05
Bluff,0,AU,1551924777,40,-23.58,149.07,94,10.78
Vitim,88,RU,1551924777,79,59.44,112.57,23.57,3.96
Nemuro,20,JP,1551920400,63,43.32,145.57,26.6,14.99
Yellowknife,5,CA,1551924766,78,62.45,-114.38,10.4,8.05
New Norfolk,40,AU,1551924734,36,-42.78,147.06,64.4,12.75
Dikson,48,RU,1551924779,89,73.51,80.55,1.25,26.78
Dryden,90,CA,1551923220,60,49.79,-92.84,5,6.93
Aykhal,76,RU,1551924780,69,65.95,111.51,15.43,13.24
Atuona,88,PF,1551924781,99,-9.8,-139.03,82.84,17.49
Nikolskoye,0,RU,1551924010,62,59.7,30.79,21.2,6.71
Lebu,0,ET,1551924783,83,8.96,38.73,41.26,2.62
Port Elizabeth,20,US,1551924766,38,39.31,-74.98,27,10.29
Wajima,75,JP,1551920400,87,37.4,136.9,44.6,1.12
Burnie,56,AU,1551924724,58,-41.05,145.91,64,11.99
Kodiak,1,US,1551924724,67,39.95,-94.76,32,3.36
Ponta do Sol,68,BR,1551924785,95,-20.63,-46,64.57,2.17
Kenai,90,US,1551924424,69,60.55,-151.26,37.4,6.93
Komsomolskiy,76,RU,1551924785,69,67.55,63.78,3.73,6.76
Pisco,75,PE,1551920400,100,-13.71,-76.2,73.4,5.82
Ushuaia,90,AR,1551920400,99,-54.81,-68.31,41,33.33
Gonbad-e Qabus,80,IR,1551920400,87,37.25,55.17,44.6,4.7
Lipari,20,IT,1551924686,93,38.47,14.95,62.01,11.41
Kangaatsiaq,36,GL,1551924788,100,68.31,-53.46,15.79,15.37
Hobart,40,AU,1551924495,36,-42.88,147.33,64.4,12.75
Scarborough,44,GB,1551924781,87,54.28,-0.41,44.01,12.75
San Patricio,68,PY,1551924792,84,-26.98,-56.83,77.44,4.29
Ostrovnoy,32,RU,1551924793,80,68.05,39.51,7.24,17.05
Mataura,92,NZ,1551924606,92,-46.19,168.86,55,10
Castro,75,CL,1551920400,82,-42.48,-73.76,55.4,4.7
Nizhniy Tsasuchey,0,RU,1551924795,41,50.52,115.13,38.92,4.52
Pevek,80,RU,1551924795,93,69.7,170.27,3.01,2.62
Mahebourg,40,MU,1551924545,83,-20.41,57.7,77,5.19
Hithadhoo,88,MV,1551924796,100,-0.6,73.08,82.84,5.08
Angoche,68,MZ,1551924797,100,-16.23,39.91,77.8,12.68
Avarua,88,CK,1551922200,70,-21.21,-159.78,84.2,16.11
Jawa,8,NG,1551924797,23,12.81,11.04,71,10.22
Buin,0,CL,1551924000,24,-33.73,-70.74,71.6,8.05
Jawhar,0,IN,1551924798,73,19.91,73.23,66.28,3.06
Bethel,90,US,1551923760,92,60.79,-161.76,32,8.05
Black River,20,JM,1551924023,78,18.03,-77.85,78.8,4.7
Butaritari,64,KI,1551924800,100,3.07,172.79,79.87,11.79
Arraial do Cabo,24,BR,1551924800,88,-22.97,-42.02,80.59,12.8
Qaanaaq,64,GL,1551924801,91,77.48,-69.36,-2.08,3.51
Puerto Ayora,0,EC,1551924801,98,-0.74,-90.35,80.99,9.44
Kang,8,BW,1551924801,53,-23.67,22.79,71.05,8.43
Busselton,92,AU,1551924782,63,-33.64,115.35,73,5.97
Deputatskiy,0,RU,1551924803,67,69.3,139.9,-10.77,3.85
Nome,40,US,1551924765,57,30.04,-94.42,52,5.82
Staryy Nadym,92,RU,1551924804,87,65.61,72.68,21.82,12.24
Srednekolymsk,48,RU,1551924805,63,67.46,153.71,0.17,3.18
Artyom,0,RU,1551922200,25,43.36,132.19,37.4,13.42
Chokurdakh,0,RU,1551924805,65,70.62,147.9,-8.7,3.96
